year      msl_ib(mm) #version_2016_rel4
1992.9595   -4.024
1992.9866   -6.756
1993.0138   -9.402
1993.0409  -12.830
1993.0681  -13.036
1993.0952  -11.879
1993.1223   -6.450
1993.1495   -5.510
1993.1766  -10.030
1993.2038   -9.159
1993.2309   -6.343
1993.2852   -5.610
1993.3124   -4.048
1993.3395   -9.127
1993.3667  -11.192
1993.3938  -10.202
1993.4210   -5.361
1993.4481   -3.080
1993.4753   -4.598
1993.5024   -6.685
1993.5296   -6.629
1993.5839   -2.418
1993.6110   -1.176
1993.6382    0.061
1993.6653   -2.787
1993.6925   -2.910
1993.7196   -1.122
1993.7468    5.028
1993.7739    7.899
1993.8010    4.221
1993.8553   -1.871
1993.8825   -0.014
1993.9096    1.021
1993.9368    1.869
1993.9639    3.084
1993.9911   -3.253
1994.0182   -6.239
1994.0454   -2.422
1994.0725    0.556
1994.0997   -3.563
1994.1268   -9.301
1994.1540  -13.717
1994.1811   -5.817
1994.2354   -1.807
1994.2626   -2.770
1994.2897   -4.724
1994.3169   -9.330
1994.3440   -8.218
1994.3712   -5.409
1994.3983   -7.398
1994.4255   -5.857
1994.4526   -6.724
1994.5069   -8.513
1994.5340   -2.920
1994.5612   -0.323
1994.5883   -1.184
1994.6155   -6.209
1994.6426   -5.464
1994.6698   -4.535
1994.6969    4.268
1994.7241    4.582
1994.7512    1.298
1994.7784    0.835
1994.8055    1.635
1994.8327    0.157
1994.8870    1.194
1994.9141   -6.721
1994.9413   -5.436
1994.9684   -3.681
1994.9956    0.232
1995.0227    1.977
1995.0499    1.081
1995.0770    1.858
1995.1042   -5.845
1995.1313  -11.691
1995.1585   -4.490
1995.2128    1.943
1995.2399   -6.277
1995.2670   -7.938
1995.2942   -9.582
1995.3213   -4.948
1995.3756   -5.421
1995.4028   -4.766
1995.4299   -5.234
1995.4571   -7.187
1995.4842   -5.164
1995.5385   -1.806
1995.5657   -3.381
1995.5928   -5.756
1995.6200   -5.337
1995.6471   -1.865
1995.6743    4.368
1995.7014    6.528
1995.7286    7.528
1995.7557    1.810
1995.7829    0.550
1995.8372    4.687
1995.8643    5.349
1995.8915    3.363
1995.9458   -3.857
1995.9729    4.830
1996.0000    2.405
1996.0272   -2.529
1996.0543   -6.412
1996.0815   -9.022
1996.1086   -6.901
1996.1629    2.181
1996.1901   -2.918
1996.2172   -3.556
1996.2444   -5.425
1996.2715   -6.436
1996.2987   -2.272
1996.3258    0.844
1996.3530   -0.983
1996.3801   -4.001
1996.4073   -4.443
1996.4344   -2.586
1996.4887    4.677
1996.5159    2.628
1996.5430    1.628
1996.5702    1.055
1996.5973    2.622
1996.6245    3.619
1996.6516    5.845
1996.6788    5.596
1996.7059    4.557
1996.7330    3.610
1996.7602    4.790
1996.8145    6.044
1996.8416    9.081
1996.8688    6.201
1996.8959    1.378
1996.9231    3.632
1996.9502    6.953
1996.9774    4.714
1997.0045    1.763
1997.0317   -1.564
1997.0588   -6.529
1997.0860   -1.145
1997.1403    0.135
